"Store_ID","Product_ID","Stock_On_Hand"
"1","1","27"
"1","2","0"
"1","3","32"
"1","4","6"
"1","5","0"
"1","6","79"
"1","7","5"
"1","8","63"
"1","9","12"
"1","10","22"
"1","11","19"
"1","12","3"
"1","13","12"
"1","14","3"
"1","15","2"
"1","16","8"
"1","17","7"
"1","18","11"
"1","19","25"
"1","20","11"
"1","21","21"
"1","22","2"
"1","23","1"
"1","24","9"
"1","25","54"
"1","26","13"
"1","27","33"
"1","28","10"
"1","29","4"
"1","30","44"
"1","31","7"
"1","32","4"
"1","33","2"
"1","34","0"
"1","35","12"
"2","1","0"
"2","2","6"
"2","3","18"
"2","6","6"
"2","7","14"
"2","8","76"
"2","9","0"
"2","10","10"
"2","11","0"
"2","12","2"
"2","13","3"
"2","14","21"
"2","15","20"
"2","17","12"
"2","18","38"
"2","19","35"
"2","21","20"
"2","23","8"
"2","24","39"
"2","25","32"
"2","26","12"
"2","27","30"
"2","28","2"
"2","29","5"
"2","30","50"
"2","31","18"
"2","32","10"
"2","33","11"
"2","34","18"
"3","1","17"
"3","2","8"
"3","3","35"
"3","6","21"
"3","7","8"
"3","8","44"
"3","9","4"
"3","10","54"
"3","11","13"
"3","12","4"
"3","13","8"
"3","14","4"
"3","15","0"
"3","17","1"
"3","18","52"
"3","19","33"
"3","21","3"
"3","23","13"
"3","24","15"
"3","25","44"
"3","26","13"
"3","27","23"
"3","28","10"
"3","29","0"
"3","30","43"
"3","31","29"
"3","32","4"
"3","33","4"
"3","34","7"
"4","1","2"
"4","2","18"
"4","3","6"
"4","4","2"
"4","5","14"
"4","6","44"
"4","7","9"
