"Sale_ID","Date","Store_ID","Product_ID","Units"
"1","2017-01-01","24","4","1"
"2","2017-01-01","28","1","1"
"3","2017-01-01","6","8","1"
"4","2017-01-01","48","7","1"
"5","2017-01-01","44","18","1"
"6","2017-01-01","1","31","1"
"7","2017-01-01","40","7","1"
"8","2017-01-01","19","2","1"
"9","2017-01-01","38","21","1"
"10","2017-01-01","21","8","1"
"11","2017-01-01","6","8","1"
"12","2017-01-01","34","8","1"
"13","2017-01-01","37","8","2"
"14","2017-01-01","38","9","1"
"15","2017-01-01","5","31","1"
"16","2017-01-01","34","24","1"
"17","2017-01-01","8","8","1"
"18","2017-01-01","6","8","1"
"19","2017-01-01","8","8","1"
"20","2017-01-01","3","24","2"
"21","2017-01-01","5","31","1"
"22","2017-01-01","33","27","1"
"23","2017-01-01","3","8","1"
"24","2017-01-01","30","24","1"
"25","2017-01-01","4","20","1"
"26","2017-01-01","41","8","1"
"27","2017-01-01","34","31","1"
"28","2017-01-01","10","35","1"
"29","2017-01-01","16","35","1"
"30","2017-01-01","34","18","3"
"31","2017-01-01","34","8","1"
"32","2017-01-01","4","20","1"
"33","2017-01-01","5","31","1"
"34","2017-01-01","36","1","1"
"35","2017-01-01","39","34","3"
"36","2017-01-01","5","21","1"
"37","2017-01-01","33","27","1"
"38","2017-01-01","32","8","4"
"39","2017-01-01","25","9","1"
"40","2017-01-01","46","6","1"
"41","2017-01-01","23","14","1"
"42","2017-01-01","33","27","1"
"43","2017-01-01","50","5","1"
"44","2017-01-01","12","7","1"
"45","2017-01-01","41","8","3"
"46","2017-01-01","12","8","1"
"47","2017-01-01","30","1","3"
"48","2017-01-01","38","21","1"
"49","2017-01-01","50","24","1"
"50","2017-01-01","22","30","1"
"51","2017-01-01","21","8","1"
"52","2017-01-01","48","7","1"
"53","2017-01-01","8","8","1"
"54","2017-01-01","50","6","1"
"55","2017-01-01","33","27","1"
"56","2017-01-01","41","8","2"
"57","2017-01-01","46","6","1"
"58","2017-01-01","16","8","1"
"59","2017-01-01","41","1","1"
"60","2017-01-01","37","18","1"
"61","2017-01-01","36","1","1"
"62","2017-01-01","21","8","1"
"63","2017-01-01","36","1","1"
"64","2017-01-01","34","18","2"
"65","2017-01-01","5","31","1"
"66","2017-01-01","24","4","1"
"67","2017-01-01","33","33","1"
"68","2017-01-01","48","9","1"
"69","2017-01-01","33","33","1"
"70","2017-01-01","37","31","1"
"71","2017-01-01","27","8","1"
"72","2017-01-01","19","6","2"
"73","2017-01-01","44","2","1"
"74","2017-01-01","30","24","1"
"75","2017-01-01","34","24","1"
"76","2017-01-01","19","6","2"
"77","2017-01-01","21","1","1"
"78","2017-01-01","41","8","3"
"79","2017-01-01","7","9","1"
"80","2017-01-01","7","4","1"
"81","2017-01-01","7","9","1"
"82","2017-01-01","50","24","1"
"83","2017-01-01","5","8","1"
"84","2017-01-01","8","20","1"
"85","2017-01-01","47","8","1"
"86","2017-01-01","33","33","1"
"87","2017-01-01","1","31","1"
"88","2017-01-01","47","8","1"
"89","2017-01-01","12","6","3"
"90","2017-01-01","49","5","1"
"91","2017-01-01","16","8","1"
"92","2017-01-01","7","9","1"
"93","2017-01-01","10","35","1"
"94","2017-01-01","37","22","1"
"95","2017-01-01","41","8","2"
"96","2017-01-01","10","8","1"
"97","2017-01-01","42","27","1"
"98","2017-01-01","24","4","1"
"99","2017-01-01","33","27","1"
"100","2017-01-01","5","21","1"
