Store_ID,Product_ID,Stock_On_Hand,Inventory_Cost_Value,Inventory_Retail_Value,Out_of_Stock_Flag,Recent_90D_Units,Avg_Daily_Units,Days_of_Inventory
1,1,27,269.73,431.73,0,107,1.19,22.7
1,2,0,0.0,0.0,1,123,1.37,0.0
1,3,32,63.68,127.68,0,247,2.74,11.7
1,4,6,59.94,77.94,0,27,0.3,20.0
1,5,0,0.0,0.0,1,25,0.28,0.0
1,6,79,552.21,1184.21,0,358,3.98,19.9
1,7,5,59.95,79.95,0,49,0.54,9.2
1,8,63,251.37,440.37,0,288,3.2,19.7
1,9,12,119.88,131.88,0,148,1.64,7.3
1,10,22,241.78,329.78000000000003,0,47,0.52,42.1
1,11,19,208.81,398.80999999999995,0,76,0.84,22.5
1,12,3,26.97,35.97,0,52,0.58,5.2
1,13,12,179.88,251.88,0,23,0.26,47.0
1,14,3,17.97,32.97,0,18,0.2,15.0
1,15,2,7.98,11.98,0,26,0.29,6.9
1,16,8,23.92,79.92,0,7,0.08,102.9
1,17,7,97.93,139.92999999999998,0,77,0.86,8.2
1,18,11,384.89000000000004,439.89000000000004,0,71,0.79,13.9
1,19,25,349.75,399.75,0,331,3.68,6.8
1,20,11,98.89,274.89,0,0,0.0,
1,21,21,146.79,209.79,0,97,1.08,19.5
1,22,2,27.98,39.98,0,27,0.3,6.7
1,23,1,4.99,9.99,0,73,0.81,1.2
1,24,9,134.91,179.91,0,114,1.27,7.1
1,25,54,107.46,161.46,0,339,3.77,14.3
1,26,13,272.87,324.87,0,0,0.0,
1,27,33,131.67000000000002,164.67000000000002,0,46,0.51,64.6
1,28,10,39.900000000000006,109.9,0,117,1.3,7.7
1,29,4,35.96,79.96,0,33,0.37,10.9
1,30,44,791.56,879.56,0,91,1.01,43.5
1,31,7,55.93,62.93,0,76,0.84,8.3
1,32,4,47.96,59.96,0,36,0.4,10.0
1,33,2,21.98,25.98,0,15,0.17,12.0
1,34,0,0.0,0.0,1,53,0.59,0.0
1,35,12,47.88,95.88,0,0,0.0,
2,1,0,0.0,0.0,1,121,1.34,0.0
2,2,6,59.94,77.94,0,81,0.9,6.7
2,3,18,35.82,71.82000000000001,0,425,4.72,3.8
2,6,6,41.94,89.94,0,97,1.08,5.6
2,7,14,167.86,223.86,0,49,0.54,25.7
2,8,76,303.24,531.24,0,251,2.79,27.3
2,9,0,0.0,0.0,1,131,1.46,0.0
2,10,10,109.9,149.9,0,46,0.51,19.6
2,11,0,0.0,0.0,1,20,0.22,0.0
2,12,2,17.98,23.98,0,41,0.46,4.4
2,13,3,44.97,62.97,0,58,0.64,4.7
2,14,21,125.79,230.79,0,86,0.96,22.0
2,15,20,79.80000000000001,119.80000000000001,0,45,0.5,40.0
2,17,12,167.88,239.88,0,80,0.89,13.5
2,18,38,1329.6200000000001,1519.6200000000001,0,150,1.67,22.8
2,19,35,489.65000000000003,559.65,0,209,2.32,15.1
2,21,20,139.8,199.8,0,118,1.31,15.3
2,23,8,39.92,79.92,0,34,0.38,21.2
2,24,39,584.61,779.6099999999999,0,93,1.03,37.7
2,25,32,63.68,95.68,0,252,2.8,11.4
2,26,12,251.88,299.88,0,21,0.23,51.4
2,27,30,119.7,149.70000000000002,0,38,0.42,71.1
2,28,2,7.98,21.98,0,48,0.53,3.8
2,29,5,44.95,99.94999999999999,0,13,0.14,34.6
2,30,50,899.4999999999999,999.4999999999999,0,103,1.14,43.7
2,31,18,143.82,161.82,0,15,0.17,108.0
2,32,10,119.9,149.9,0,10,0.11,90.0
2,33,11,120.89,142.89000000000001,0,2,0.02,495.0
2,34,18,377.82,467.82,0,24,0.27,67.5
3,1,17,169.83,271.83,0,55,0.61,27.8
3,2,8,79.92,103.92,0,206,2.29,3.5
